TID;Name;Taxonomy
1251;SESAR Joint Undertaking;19
1252;Shift2Rail Joint Undertaking (S2R);19
1253;Single Resolution Board (SRB);19
1254;Socialist Group;19
1255;Socialist Group in the European Parliament;19
1256;Special Committee on Organised Crime, Corruption and Money Laundering;19
1257;Special Committee on Tax Rulings and Other Measures Similar in Nature or Effect;19
1258;Special Committee on the Financial, Economic and Social Crisis;19
1259;Spokesman's Service of the Commission;19
1260;Staff Committee;19
1261;Statistical Office;19
1262;Subcommittee on Fisheries;19
1263;Subcommittee on Human Rights;19
1264;Subcommittee on Monetary Affairs;19
1265;Subcommittee on Security and Defence;19
1266;Subcommittee on Security and Disarmament;19
1267;Task Force for Human Resources, Education, Training and Youth of the European Commission;19
1268;Task Force for the Accession Negotiations;19
1269;Technical Coordination and Defence of Independent Groups and Members;19
1270;Technical Group of Independent Members - mixed group;19
1271;Technical Group of the European Right;19
1272;Temporary committee of inquiry into BSE (bovine spongiform encephalopathy);19
1273;Temporary committee of Inquiry into the Community Transit System;19
1274;Temporary Committee on Climate Change;19
1275;Temporary committee on employment;19
1276;Temporary committee on foot and mouth disease;19
1277;Temporary committee on human genetics and other new technologies in modern medicine;19
1278;Temporary committee on improving safety at sea;19
1279;Temporary committee on policy challenges and budgetary means of the enlarged Union 2007-2013;19
1280;Temporary committee on the Echelon interception system;19
1281;Temporary Committee on the Impact of German unification on the EC;19
1282;The Green Group in the European Parliament;19
1283;The Member States;19
1284;The six Member States: Belgium, Germany, France, Italy, Luxembourg, Netherlands;19
1285;Trans-European Transport Network Executive Agency (TEN-T EA);19
1286;Translation Centre (CdT);19
1287;Translation Service;19
1288;Transport, Telecommunications and Energy Council (TTE);19
1289;Union for Europe of the Nations - European Alliance (EA);19
1290;Union for Europe of the Nations - European Alliance (UEN-EA);19
1291;Union for Europe of the Nations Group;19
1292;Western European Union (WEU);19
1293;Western European Union Institute for Security Studies (WEUISS);19
1294;Western European Union Satellite Centre (SC);19
